[03-Aug-2026 23:57:33 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[04-Aug-2026 00:09:46 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[04-Aug-2026 00:12:01 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[04-Aug-2026 00:16:11 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[04-Aug-2026 00:40:17 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[04-Aug-2026 00:44:32 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[04-Aug-2026 00:48:12 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[04-Aug-2026 00:50:26 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[04-Aug-2026 00:50:32 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[04-Aug-2026 00:50:54 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[04-Aug-2026 00:50:54 Asia/Tehran] Unhandled application error: Error
[04-Aug-2026 00:51:23 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[04-Aug-2026 00:51:51 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[04-Aug-2026 00:51:51 Asia/Tehran] Unhandled application error: Error
[04-Aug-2026 00:52:27 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[04-Aug-2026 01:00:30 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
[04-Aug-2026 01:01:41 Asia/Tehran] Catalogue database unavailable; JSON fallback selected.
